,player,position,team_name,player_game_count,forced_fumbles,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,sacks,snap_counts_box,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_pass_rush,snap_counts_run_defense,stops,tackles,tackles_for_loss,targets,total_pressures
,Jackson Forrest,LB,DOMINION,11,3,83.3,88.5,83.5,87.8,69.0,55.8,1,7,17.1,7,0,1,90.1,5,268,99,273,0,0,0,0,0,49,125,20,25,3,8,13
,Kris Jones,ED,GEORGIA,12,0,57.7,60.8,83.7,64.8,56.9,57.5,0,5,12.5,1,0,0,112.5,0,3,19,115,109,0,0,107,2,50,46,1,4,1,1,5
,Carson Tujague,DI,UTAH ST,12,0,55.9,57.8,16.9,53.1,67.5,78.2,3,8,5.8,3,0,5,158.3,1,0,19,644,643,15,65,178,385,325,300,26,33,2,4,12
,Sahir West,ED,JAMES MAD,13,0,63.2,73.3,34.9,70.1,74.2,76.5,5,16,9.7,3,0,3,0.0,4,1,3,507,505,0,70,357,78,288,216,19,19,5,0,25
,Chris Forbes,DI,DOMINION,12,0,71.1,63.4,61.7,58.6,62.1,59.5,1,6,9.5,2,0,1,0.0,2,0,0,369,369,49,79,158,83,184,185,15,15,4,0,9
,Lorenzo McFadden-Pressley,DI,DOMINION,9,0,60.0,58.5,27.3,64.1,58.0,57.0,0,3,14.3,1,0,1,0.0,0,0,1,120,119,100,18,0,1,49,70,2,2,0,0,3
,Bryce Deas,LB,AUBURN,9,0,77.2,74.3,84.9,58.8,71.2,55.2,3,5,21.1,4,1,0,93.8,0,89,72,185,82,0,0,82,0,26,87,7,10,2,7,8
,Bryce Jenkins,DI,MARYLAND,8,0,60.0,63.0,0.0,58.7,74.2,63.0,0,2,10.0,1,0,4,0.0,0,1,0,151,150,47,101,0,2,64,87,4,5,1,0,2
,Carlton Smith,LB,MARYLAND,12,0,33.8,57.7,81.3,64.9,76.0,81.5,3,3,7.7,5,0,0,105.1,1,437,223,466,4,0,0,4,0,29,214,23,48,2,22,7
,Nahsir Taylor,ED,MARYLAND,11,0,60.4,65.7,9.2,78.5,56.2,28.7,3,6,32.0,8,0,3,118.8,3,1,6,270,267,0,0,265,2,135,129,10,12,1,1,12
,Sidney Stewart,ED,MARYLAND,12,1,47.5,63.3,24.1,74.9,60.8,50.0,7,29,26.5,9,0,4,139.6,5,50,63,585,519,0,0,518,1,252,270,16,16,3,4,41
,Hunter Malecki,DI,DOMINION,12,0,70.0,60.5,81.7,60.5,53.7,43.1,0,9,50.0,3,0,0,0.0,3,0,1,165,165,56,72,26,11,122,42,4,2,0,0,12
,Yvan Kemajou,ED,PENN STATE,10,0,65.2,67.0,46.2,64.9,65.5,73.9,1,7,6.3,1,0,1,0.0,1,1,1,197,196,0,0,187,9,91,105,10,9,4,0,9
,Zahir Mathis,ED,MARYLAND,11,0,51.4,68.6,52.9,74.0,63.5,66.5,5,21,16.7,6,0,2,150.0,5,1,16,474,473,0,0,473,0,244,214,19,24,2,4,31
,Noah Chambers,LB,VA TECH,8,0,57.7,53.5,20.5,61.5,51.9,72.0,1,4,11.6,5,1,1,119.0,1,276,133,283,5,0,0,5,0,23,127,15,28,0,18,6